kms_driven,owner,age,power,brand,actual_price,predicted_price
23188.0,1,6.0,110.0,5,26000.0,32896.0
31336.0,1,9.0,150.0,8,27000.0,23342.0
45000.0,1,7.0,150.0,7,19000.0,32186.96
2000.0,1,4.0,500.0,2,180000.0,163044.93
8942.0,1,7.0,350.0,2,100000.0,94076.36
22800.0,1,4.0,600.0,9,530000.0,483508.4
45000.0,1,10.0,220.0,7,45000.0,28667.5
20058.0,1,4.0,150.0,7,51000.0,36232.16
5610.0,1,10.0,150.0,6,22000.0,30699.3
35600.0,1,7.0,100.0,6,31500.0,28786.0
62135.0,2,13.0,150.0,6,9000.0,22618.84
2550.0,1,2.0,220.0,7,110000.0,86979.0
13000.0,1,8.0,223.0,6,55000.0,42526.0
18114.0,1,7.0,100.0,6,23000.0,29047.25
8331.0,1,3.0,160.0,5,81300.0,79617.0
13058.0,1,8.0,100.0,1,29999.0,24357.6
10741.0,1,5.0,750.0,15,445600.0,441900.0
55000.0,2,8.0,150.0,5,55999.0,44602.87
46643.0,1,14.0,100.0,6,12200.0,18722.19
17300.0,1,3.0,100.0,6,45000.0,40085.0
46093.0,1,9.0,100.0,7,21000.0,20185.0
50000.0,1,7.0,180.0,1,28000.0,45565.0
6740.0,1,4.0,150.0,8,70000.0,66611.05333333333
50000.0,1,5.0,100.0,7,19400.0,27420.0
4500.0,1,5.0,320.0,4,246800.0,189460.81
11332.0,1,6.0,100.0,6,25000.0,28955.0
31500.0,1,5.0,350.0,2,109600.0,114150.0
43333.0,1,10.0,150.0,5,30000.0,27412.0
5233.0,1,5.0,150.0,7,48000.0,47954.0
17965.0,1,9.0,350.0,2,63326.0,77738.76
7593.0,1,4.0,400.0,7,115000.0,134572.99
13600.0,2,4.0,150.0,4,72000.0,70169.0
40266.0,1,11.0,125.0,5,18000.0,27770.8
8000.0,1,7.0,350.0,2,85000.0,91560.0
4544.0,1,2.0,100.0,6,41000.0,56004.0
16838.0,1,6.0,100.0,6,36995.0,33176.0
25000.0,1,7.0,390.0,10,96000.0,96050.0
21917.0,1,5.0,100.0,6,30000.0,33216.0
23000.0,1,7.0,350.0,2,98000.0,91050.0
3000.0,1,4.0,125.0,5,55000.0,54794.84
92466.0,1,9.0,110.0,1,18000.0,22951.0
82000.0,2,17.0,150.0,7,12000.0,8691.7
35600.0,1,9.0,150.0,4,30000.0,39970.0
18000.0,1,6.0,150.0,7,25000.0,36200.0
10800.0,1,3.0,600.0,9,440000.0,511489.0
24000.0,1,4.0,390.0,10,197200.0,159200.0
39125.0,1,6.0,180.0,1,40500.0,48344.15
47830.0,1,13.0,100.0,6,20000.0,15936.76
32000.0,2,63.0,350.0,2,70000.0,109900.0
13608.0,1,8.0,100.0,6,28500.0,28297.0
7000.0,1,4.0,400.0,7,135000.0,138776.0
32000.0,1,10.0,150.0,4,20500.0,45582.16666666666
19000.0,1,7.0,250.0,14,145000.0,171237.0
4168.0,1,6.0,650.0,14,231000.0,340329.52
8000.0,1,5.0,390.0,10,170000.0,162019.3333333333
21200.0,1,10.0,150.0,4,52000.0,30484.0
32262.0,1,8.0,200.0,7,37000.0,46903.3075
23000.0,1,6.0,100.0,6,39000.0,31050.0
41000.0,1,8.0,150.0,5,69000.0,39564.0
23378.0,1,5.0,350.0,2,100000.0,106865.0
11000.0,1,7.0,350.0,2,70000.0,97714.0
21515.0,1,3.0,400.0,7,145000.0,136905.0
33000.0,1,6.0,220.0,7,58000.0,44958.0
22000.0,2,12.0,150.0,7,18000.0,23516.48
7299.0,1,4.0,350.0,2,160000.0,126201.0
17874.0,1,6.0,125.0,6,24500.0,26395.26
1178.0,1,2.0,390.0,10,263000.0,235295.34904761906
23000.0,1,5.0,250.0,9,165000.0,148142.0
16229.0,1,4.0,150.0,4,52000.0,80634.5
35467.0,1,5.0,150.0,7,33000.0,35116.666666666664
14000.0,1,5.0,150.0,8,50000.0,55333.47666666666
23000.0,1,7.0,125.0,5,30000.0,32762.116666666665
12227.0,1,6.0,150.0,4,47500.0,50244.0
15500.0,1,5.0,390.0,10,155000.0,122961.0
3200.0,1,2.0,125.0,6,57000.0,58715.52
